name= Base | position= (100,100) : 101 : 101 | Health=10000 Placesd
attacker: name= Black Eagle  | position= (100,252) : 41 : 41 | Health=1000  < moved >  From (100,253)
attacker: name= Tesla Tank  | position= (88,255) : 41 : 41 | Health=1000  < moved >  From (89,255)
attacker: name= Tesla Tank  | position= (87,255) : 41 : 41 | Health=1000  < moved >  From (88,255)
attacker: name= Black Eagle  | position= (100,251) : 41 : 41 | Health=1000  < moved >  From (100,252)
attacker: name= Tesla Tank  | position= (86,255) : 41 : 41 | Health=1000  < moved >  From (87,255)
attacker: name= Tesla Tank  | position= (85,255) : 41 : 41 | Health=1000  < moved >  From (86,255)
attacker: name= Black Eagle  | position= (100,250) : 41 : 41 | Health=1000  < moved >  From (100,251)
attacker: name= Tesla Tank  | position= (84,255) : 41 : 41 | Health=1000  < moved >  From (85,255)
attacker: name= Tesla Tank  | position= (83,255) : 41 : 41 | Health=1000  < moved >  From (84,255)
attacker: name= Black Eagle  | position= (100,249) : 41 : 41 | Health=1000  < moved >  From (100,250)
attacker: name= Tesla Tank  | position= (82,255) : 41 : 41 | Health=1000  < moved >  From (83,255)
attacker: name= Tesla Tank  | position= (81,255) : 41 : 41 | Health=1000  < moved >  From (82,255)
attacker: name= Black Eagle  | position= (100,248) : 41 : 41 | Health=1000  < moved >  From (100,249)
attacker: name= Tesla Tank  | position= (80,255) : 41 : 41 | Health=1000  < moved >  From (81,255)
attacker: name= Tesla Tank  | position= (79,255) : 41 : 41 | Health=1000  < moved >  From (80,255)
attacker: name= Black Eagle  | position= (100,247) : 41 : 41 | Health=1000  < moved >  From (100,248)
attacker: name= Tesla Tank  | position= (78,255) : 41 : 41 | Health=1000  < moved >  From (79,255)
attacker: name= Tesla Tank  | position= (77,255) : 41 : 41 | Health=1000  < moved >  From (78,255)
attacker: name= Black Eagle  | position= (100,246) : 41 : 41 | Health=1000  < moved >  From (100,247)
attacker: name= Tesla Tank  | position= (76,255) : 41 : 41 | Health=1000  < moved >  From (77,255)
attacker: name= Tesla Tank  | position= (75,255) : 41 : 41 | Health=1000  < moved >  From (76,255)
attacker: name= Black Eagle  | position= (100,245) : 41 : 41 | Health=1000  < moved >  From (100,246)
attacker: name= Tesla Tank  | position= (74,255) : 41 : 41 | Health=1000  < moved >  From (75,255)
attacker: name= Black Eagle  | position= (100,244) : 41 : 41 | Health=1000  < moved >  From (100,245)
attacker: name= Tesla Tank  | position= (73,255) : 41 : 41 | Health=1000  < moved >  From (74,255)
attacker: name= Tesla Tank  | position= (72,255) : 41 : 41 | Health=1000  < moved >  From (73,255)
attacker: name= Black Eagle  | position= (100,243) : 41 : 41 | Health=1000  < moved >  From (100,244)
attacker: name= Tesla Tank  | position= (71,255) : 41 : 41 | Health=1000  < moved >  From (72,255)
attacker: name= Tesla Tank  | position= (70,255) : 41 : 41 | Health=1000  < moved >  From (71,255)
attacker: name= Black Eagle  | position= (100,242) : 41 : 41 | Health=1000  < moved >  From (100,243)
attacker: name= Tesla Tank  | position= (69,255) : 41 : 41 | Health=1000  < moved >  From (70,255)
attacker: name= Tesla Tank  | position= (68,255) : 41 : 41 | Health=1000  < moved >  From (69,255)
attacker: name= Black Eagle  | position= (100,241) : 41 : 41 | Health=1000  < moved >  From (100,242)
attacker: name= Tesla Tank  | position= (67,255) : 41 : 41 | Health=1000  < moved >  From (68,255)
attacker: name= Tesla Tank  | position= (66,255) : 41 : 41 | Health=1000  < moved >  From (67,255)
attacker: name= Black Eagle  | position= (100,240) : 41 : 41 | Health=1000  < moved >  From (100,241)
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000  < attacked >  attacker: name= Black Eagle  | position= (100,240) : 41 : 41 | Health=1000 --> 509.0
attacker: name= Tesla Tank  | position= (65,255) : 41 : 41 | Health=1000  < moved >  From (66,255)
attacker: name= Tesla Tank  | position= (64,255) : 41 : 41 | Health=1000  < moved >  From (65,255)
attacker: name= Black Eagle  | position= (100,239) : 41 : 41 | Health=509  < moved >  From (100,240)
attacker: name= Tesla Tank  | position= (63,255) : 41 : 41 | Health=1000  < moved >  From (64,255)
attacker: name= Tesla Tank  | position= (62,255) : 41 : 41 | Health=1000  < moved >  From (63,255)
attacker: name= Black Eagle  | position= (100,238) : 41 : 41 | Health=509  < moved >  From (100,239)
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000  < attacked >  attacker: name= Black Eagle  | position= (100,238) : 41 : 41 | Health=509 --> 18.0
attacker: name= Tesla Tank  | position= (61,255) : 41 : 41 | Health=1000  < moved >  From (62,255)
attacker: name= Tesla Tank  | position= (60,255) : 41 : 41 | Health=1000  < moved >  From (61,255)
attacker: name= Black Eagle  | position= (100,237) : 41 : 41 | Health=18  < moved >  From (100,238)
attacker: name= Tesla Tank  | position= (59,255) : 41 : 41 | Health=1000  < moved >  From (60,255)
attacker: name= Tesla Tank  | position= (59,254) : 41 : 41 | Health=1000  < moved >  From (59,255)
defender: name= rocket Tank  | position= (100,205) : 21 : 21 | Health=1000  < attacked >  attacker: name= Black Eagle  | position= (100,237) : 41 : 41 | Health=18 --> -473.0
attacker: name= Black Eagle  | position= (100,237) : 41 : 41 | Health=-473  < destroyed >  
attacker: name= Tesla Tank  | position= (59,253) : 41 : 41 | Health=1000  < moved >  From (59,254)
attacker: name= Tesla Tank  | position= (59,252) : 41 : 41 | Health=1000  < moved >  From (59,253)
attacker: name= Tesla Tank  | position= (59,251) : 41 : 41 | Health=1000  < moved >  From (59,252)
attacker: name= Tesla Tank  | position= (59,250) : 41 : 41 | Health=1000  < moved >  From (59,251)
attacker: name= Tesla Tank  | position= (59,249) : 41 : 41 | Health=1000  < moved >  From (59,250)
attacker: name= Tesla Tank  | position= (59,248) : 41 : 41 | Health=1000  < moved >  From (59,249)
attacker: name= Tesla Tank  | position= (59,247) : 41 : 41 | Health=1000  < moved >  From (59,248)
attacker: name= Tesla Tank  | position= (59,246) : 41 : 41 | Health=1000  < moved >  From (59,247)
attacker: name= Tesla Tank  | position= (59,245) : 41 : 41 | Health=1000  < moved >  From (59,246)
attacker: name= Tesla Tank  | position= (59,244) : 41 : 41 | Health=1000  < moved >  From (59,245)
attacker: name= Tesla Tank  | position= (59,243) : 41 : 41 | Health=1000  < moved >  From (59,244)
attacker: name= Tesla Tank  | position= (59,242) : 41 : 41 | Health=1000  < moved >  From (59,243)
attacker: name= Tesla Tank  | position= (59,241) : 41 : 41 | Health=1000  < moved >  From (59,242)
attacker: name= Tesla Tank  | position= (59,240) : 41 : 41 | Health=1000  < moved >  From (59,241)
attacker: name= Tesla Tank  | position= (59,239) : 41 : 41 | Health=1000  < moved >  From (59,240)
attacker: name= Tesla Tank  | position= (59,238) : 41 : 41 | Health=1000  < moved >  From (59,239)
attacker: name= Tesla Tank  | position= (59,237) : 41 : 41 | Health=1000  < moved >  From (59,238)
attacker: name= Tesla Tank  | position= (59,236) : 41 : 41 | Health=1000  < moved >  From (59,237)
attacker: name= Tesla Tank  | position= (59,235) : 41 : 41 | Health=1000  < moved >  From (59,236)
attacker: name= Tesla Tank  | position= (59,234) : 41 : 41 | Health=1000  < moved >  From (59,235)
attacker: name= Tesla Tank  | position= (59,233) : 41 : 41 | Health=1000  < moved >  From (59,234)
attacker: name= Tesla Tank  | position= (59,232) : 41 : 41 | Health=1000  < moved >  From (59,233)
attacker: name= Tesla Tank  | position= (59,231) : 41 : 41 | Health=1000  < moved >  From (59,232)
attacker: name= Tesla Tank  | position= (59,230) : 41 : 41 | Health=1000  < moved >  From (59,231)
attacker: name= Tesla Tank  | position= (59,229) : 41 : 41 | Health=1000  < moved >  From (59,230)
attacker: name= Tesla Tank  | position= (59,228) : 41 : 41 | Health=1000  < moved >  From (59,229)
attacker: name= Tesla Tank  | position= (59,227) : 41 : 41 | Health=1000  < moved >  From (59,228)
attacker: name= Tesla Tank  | position= (59,226) : 41 : 41 | Health=1000  < moved >  From (59,227)
attacker: name= Tesla Tank  | position= (59,225) : 41 : 41 | Health=1000  < moved >  From (59,226)
attacker: name= Tesla Tank  | position= (59,224) : 41 : 41 | Health=1000  < moved >  From (59,225)
attacker: name= Tesla Tank  | position= (59,223) : 41 : 41 | Health=1000  < moved >  From (59,224)
attacker: name= Tesla Tank  | position= (59,222) : 41 : 41 | Health=1000  < moved >  From (59,223)
attacker: name= Tesla Tank  | position= (59,221) : 41 : 41 | Health=1000  < moved >  From (59,222)
attacker: name= Tesla Tank  | position= (59,220) : 41 : 41 | Health=1000  < moved >  From (59,221)
attacker: name= Tesla Tank  | position= (59,219) : 41 : 41 | Health=1000  < moved >  From (59,220)
attacker: name= Tesla Tank  | position= (59,218) : 41 : 41 | Health=1000  < moved >  From (59,219)
attacker: name= Tesla Tank  | position= (59,217) : 41 : 41 | Health=1000  < moved >  From (59,218)
attacker: name= Tesla Tank  | position= (59,216) : 41 : 41 | Health=1000  < moved >  From (59,217)
attacker: name= Tesla Tank  | position= (59,215) : 41 : 41 | Health=1000  < moved >  From (59,216)
attacker: name= Tesla Tank  | position= (59,214) : 41 : 41 | Health=1000  < moved >  From (59,215)
attacker: name= Tesla Tank  | position= (59,213) : 41 : 41 | Health=1000  < moved >  From (59,214)
attacker: name= Tesla Tank  | position= (59,212) : 41 : 41 | Health=1000  < moved >  From (59,213)
attacker: name= Tesla Tank  | position= (59,211) : 41 : 41 | Health=1000  < moved >  From (59,212)
attacker: name= Tesla Tank  | position= (59,210) : 41 : 41 | Health=1000  < moved >  From (59,211)
attacker: name= Tesla Tank  | position= (59,209) : 41 : 41 | Health=1000  < moved >  From (59,210)
attacker: name= Tesla Tank  | position= (59,208) : 41 : 41 | Health=1000  < moved >  From (59,209)
attacker: name= Tesla Tank  | position= (59,207) : 41 : 41 | Health=1000  < moved >  From (59,208)
attacker: name= Tesla Tank  | position= (59,206) : 41 : 41 | Health=1000  < moved >  From (59,207)
attacker: name= Tesla Tank  | position= (59,205) : 41 : 41 | Health=1000  < moved >  From (59,206)
attacker: name= Tesla Tank  | position= (59,204) : 41 : 41 | Health=1000  < moved >  From (59,205)
attacker: name= Tesla Tank  | position= (59,203) : 41 : 41 | Health=1000  < moved >  From (59,204)
attacker: name= Tesla Tank  | position= (59,202) : 41 : 41 | Health=1000  < moved >  From (59,203)
attacker: name= Tesla Tank  | position= (59,201) : 41 : 41 | Health=1000  < moved >  From (59,202)
attacker: name= Tesla Tank  | position= (59,200) : 41 : 41 | Health=1000  < moved >  From (59,201)
attacker: name= Tesla Tank  | position= (59,199) : 41 : 41 | Health=1000  < moved >  From (59,200)
attacker: name= Tesla Tank  | position= (59,198) : 41 : 41 | Health=1000  < moved >  From (59,199)
attacker: name= Tesla Tank  | position= (59,197) : 41 : 41 | Health=1000  < moved >  From (59,198)
attacker: name= Tesla Tank  | position= (59,196) : 41 : 41 | Health=1000  < moved >  From (59,197)
attacker: name= Tesla Tank  | position= (59,195) : 41 : 41 | Health=1000  < moved >  From (59,196)
attacker: name= Tesla Tank  | position= (59,194) : 41 : 41 | Health=1000  < moved >  From (59,195)
attacker: name= Tesla Tank  | position= (59,193) : 41 : 41 | Health=1000  < moved >  From (59,194)
attacker: name= Tesla Tank  | position= (59,192) : 41 : 41 | Health=1000  < moved >  From (59,193)
attacker: name= Tesla Tank  | position= (59,191) : 41 : 41 | Health=1000  < moved >  From (59,192)
attacker: name= Tesla Tank  | position= (59,190) : 41 : 41 | Health=1000  < moved >  From (59,191)
attacker: name= Tesla Tank  | position= (59,189) : 41 : 41 | Health=1000  < moved >  From (59,190)
attacker: name= Tesla Tank  | position= (59,188) : 41 : 41 | Health=1000  < moved >  From (59,189)
attacker: name= Tesla Tank  | position= (59,187) : 41 : 41 | Health=1000  < moved >  From (59,188)
attacker: name= Tesla Tank  | position= (59,186) : 41 : 41 | Health=1000  < moved >  From (59,187)
attacker: name= Tesla Tank  | position= (59,185) : 41 : 41 | Health=1000  < moved >  From (59,186)
attacker: name= Tesla Tank  | position= (59,184) : 41 : 41 | Health=1000  < moved >  From (59,185)
attacker: name= Tesla Tank  | position= (59,183) : 41 : 41 | Health=1000  < moved >  From (59,184)
attacker: name= Tesla Tank  | position= (59,182) : 41 : 41 | Health=1000  < moved >  From (59,183)
attacker: name= Tesla Tank  | position= (59,181) : 41 : 41 | Health=1000  < moved >  From (59,182)
attacker: name= Tesla Tank  | position= (59,180) : 41 : 41 | Health=1000  < moved >  From (59,181)
attacker: name= Tesla Tank  | position= (59,179) : 41 : 41 | Health=1000  < moved >  From (59,180)
attacker: name= Tesla Tank  | position= (59,178) : 41 : 41 | Health=1000  < moved >  From (59,179)
attacker: name= Tesla Tank  | position= (59,177) : 41 : 41 | Health=1000  < moved >  From (59,178)
attacker: name= Tesla Tank  | position= (59,176) : 41 : 41 | Health=1000  < moved >  From (59,177)
attacker: name= Tesla Tank  | position= (59,175) : 41 : 41 | Health=1000  < moved >  From (59,176)
attacker: name= Tesla Tank  | position= (59,174) : 41 : 41 | Health=1000  < moved >  From (59,175)
attacker: name= Tesla Tank  | position= (59,173) : 41 : 41 | Health=1000  < moved >  From (59,174)
attacker: name= Tesla Tank  | position= (59,172) : 41 : 41 | Health=1000  < moved >  From (59,173)
attacker: name= Tesla Tank  | position= (59,171) : 41 : 41 | Health=1000  < moved >  From (59,172)
attacker: name= Tesla Tank  | position= (59,170) : 41 : 41 | Health=1000  < moved >  From (59,171)
attacker: name= Tesla Tank  | position= (59,169) : 41 : 41 | Health=1000  < moved >  From (59,170)
attacker: name= Tesla Tank  | position= (59,168) : 41 : 41 | Health=1000  < moved >  From (59,169)
attacker: name= Tesla Tank  | position= (59,167) : 41 : 41 | Health=1000  < moved >  From (59,168)
attacker: name= Tesla Tank  | position= (59,166) : 41 : 41 | Health=1000  < moved >  From (59,167)
attacker: name= Tesla Tank  | position= (59,165) : 41 : 41 | Health=1000  < moved >  From (59,166)
attacker: name= Tesla Tank  | position= (59,164) : 41 : 41 | Health=1000  < moved >  From (59,165)
attacker: name= Tesla Tank  | position= (59,163) : 41 : 41 | Health=1000  < moved >  From (59,164)
attacker: name= Tesla Tank  | position= (59,162) : 41 : 41 | Health=1000  < moved >  From (59,163)
attacker: name= Tesla Tank  | position= (59,161) : 41 : 41 | Health=1000  < moved >  From (59,162)
attacker: name= Tesla Tank  | position= (59,160) : 41 : 41 | Health=1000  < moved >  From (59,161)
attacker: name= Tesla Tank  | position= (59,159) : 41 : 41 | Health=1000  < moved >  From (59,160)
attacker: name= Tesla Tank  | position= (59,158) : 41 : 41 | Health=1000  < moved >  From (59,159)
attacker: name= Tesla Tank  | position= (59,157) : 41 : 41 | Health=1000  < moved >  From (59,158)
attacker: name= Tesla Tank  | position= (59,156) : 41 : 41 | Health=1000  < moved >  From (59,157)
attacker: name= Tesla Tank  | position= (59,155) : 41 : 41 | Health=1000  < moved >  From (59,156)
attacker: name= Tesla Tank  | position= (59,154) : 41 : 41 | Health=1000  < moved >  From (59,155)
attacker: name= Tesla Tank  | position= (59,153) : 41 : 41 | Health=1000  < moved >  From (59,154)
attacker: name= Tesla Tank  | position= (59,152) : 41 : 41 | Health=1000  < moved >  From (59,153)
attacker: name= Tesla Tank  | position= (59,151) : 41 : 41 | Health=1000  < moved >  From (59,152)
attacker: name= Tesla Tank  | position= (59,150) : 41 : 41 | Health=1000  < moved >  From (59,151)
attacker: name= Tesla Tank  | position= (59,149) : 41 : 41 | Health=1000  < moved >  From (59,150)
attacker: name= Tesla Tank  | position= (59,148) : 41 : 41 | Health=1000  < moved >  From (59,149)
attacker: name= Tesla Tank  | position= (60,148) : 41 : 41 | Health=1000  < moved >  From (59,148)
attacker: name= Tesla Tank  | position= (61,148) : 41 : 41 | Health=1000  < moved >  From (60,148)
attacker: name= Tesla Tank  | position= (62,148) : 41 : 41 | Health=1000  < moved >  From (61,148)
attacker: name= Tesla Tank  | position= (63,148) : 41 : 41 | Health=1000  < moved >  From (62,148)
attacker: name= Tesla Tank  | position= (64,148) : 41 : 41 | Health=1000  < moved >  From (63,148)
attacker: name= Tesla Tank  | position= (65,148) : 41 : 41 | Health=1000  < moved >  From (64,148)
attacker: name= Tesla Tank  | position= (66,148) : 41 : 41 | Health=1000  < moved >  From (65,148)
attacker: name= Tesla Tank  | position= (67,148) : 41 : 41 | Health=1000  < moved >  From (66,148)
attacker: name= Tesla Tank  | position= (68,148) : 41 : 41 | Health=1000  < moved >  From (67,148)
attacker: name= Tesla Tank  | position= (69,148) : 41 : 41 | Health=1000  < moved >  From (68,148)
attacker: name= Tesla Tank  | position= (70,148) : 41 : 41 | Health=1000  < moved >  From (69,148)
attacker: name= Tesla Tank  | position= (70,147) : 41 : 41 | Health=1000  < moved >  From (70,148)
attacker: name= Tesla Tank  | position= (70,146) : 41 : 41 | Health=1000  < moved >  From (70,147)
attacker: name= Tesla Tank  | position= (70,145) : 41 : 41 | Health=1000  < moved >  From (70,146)
attacker: name= Tesla Tank  | position= (70,144) : 41 : 41 | Health=1000  < moved >  From (70,145)
attacker: name= Tesla Tank  | position= (70,143) : 41 : 41 | Health=1000  < moved >  From (70,144)
attacker: name= Tesla Tank  | position= (70,142) : 41 : 41 | Health=1000  < moved >  From (70,143)
attacker: name= Tesla Tank  | position= (70,141) : 41 : 41 | Health=1000  < moved >  From (70,142)
attacker: name= Tesla Tank  | position= (70,140) : 41 : 41 | Health=1000  < moved >  From (70,141)
attacker: name= Tesla Tank  | position= (70,139) : 41 : 41 | Health=1000  < moved >  From (70,140)
attacker: name= Tesla Tank  | position= (70,138) : 41 : 41 | Health=1000  < moved >  From (70,139)
attacker: name= Tesla Tank  | position= (70,137) : 41 : 41 | Health=1000  < moved >  From (70,138)
attacker: name= Tesla Tank  | position= (70,136) : 41 : 41 | Health=1000  < moved >  From (70,137)
attacker: name= Tesla Tank  | position= (70,135) : 41 : 41 | Health=1000  < moved >  From (70,136)
attacker: name= Tesla Tank  | position= (70,134) : 41 : 41 | Health=1000  < moved >  From (70,135)
attacker: name= Tesla Tank  | position= (70,133) : 41 : 41 | Health=1000  < moved >  From (70,134)
attacker: name= Tesla Tank  | position= (70,132) : 41 : 41 | Health=1000  < moved >  From (70,133)
attacker: name= Tesla Tank  | position= (70,131) : 41 : 41 | Health=1000  < moved >  From (70,132)
attacker: name= Tesla Tank  | position= (70,130) : 41 : 41 | Health=1000  < moved >  From (70,131)
attacker: name= Tesla Tank  | position= (70,129) : 41 : 41 | Health=1000  < moved >  From (70,130)
attacker: name= Tesla Tank  | position= (70,128) : 41 : 41 | Health=1000  < moved >  From (70,129)
attacker: name= Tesla Tank  | position= (70,127) : 41 : 41 | Health=1000  < moved >  From (70,128)
attacker: name= Tesla Tank  | position= (70,126) : 41 : 41 | Health=1000  < moved >  From (70,127)
attacker: name= Tesla Tank  | position= (70,125) : 41 : 41 | Health=1000  < moved >  From (70,126)
attacker: name= Tesla Tank  | position= (70,124) : 41 : 41 | Health=1000  < moved >  From (70,125)
attacker: name= Tesla Tank  | position= (70,123) : 41 : 41 | Health=1000  < moved >  From (70,124)
attacker: name= Tesla Tank  | position= (70,122) : 41 : 41 | Health=1000  < moved >  From (70,123)
attacker: name= Tesla Tank  | position= (70,121) : 41 : 41 | Health=1000  < moved >  From (70,122)
attacker: name= Tesla Tank  | position= (70,120) : 41 : 41 | Health=1000  < moved >  From (70,121)
attacker: name= Tesla Tank  | position= (70,119) : 41 : 41 | Health=1000  < moved >  From (70,120)
attacker: name= Tesla Tank  | position= (70,118) : 41 : 41 | Health=1000  < moved >  From (70,119)
attacker: name= Tesla Tank  | position= (70,117) : 41 : 41 | Health=1000  < moved >  From (70,118)
attacker: name= Tesla Tank  | position= (70,116) : 41 : 41 | Health=1000  < moved >  From (70,117)
attacker: name= Tesla Tank  | position= (70,115) : 41 : 41 | Health=1000  < moved >  From (70,116)
attacker: name= Tesla Tank  | position= (70,114) : 41 : 41 | Health=1000  < moved >  From (70,115)
attacker: name= Tesla Tank  | position= (70,113) : 41 : 41 | Health=1000  < moved >  From (70,114)
attacker: name= Tesla Tank  | position= (70,112) : 41 : 41 | Health=1000  < moved >  From (70,113)
attacker: name= Tesla Tank  | position= (70,111) : 41 : 41 | Health=1000  < moved >  From (70,112)
attacker: name= Tesla Tank  | position= (70,110) : 41 : 41 | Health=1000  < moved >  From (70,111)
attacker: name= Tesla Tank  | position= (70,109) : 41 : 41 | Health=1000  < moved >  From (70,110)
attacker: name= Tesla Tank  | position= (70,108) : 41 : 41 | Health=1000  < moved >  From (70,109)
attacker: name= Tesla Tank  | position= (70,107) : 41 : 41 | Health=1000  < moved >  From (70,108)
attacker: name= Tesla Tank  | position= (71,107) : 41 : 41 | Health=1000  < moved >  From (70,107)
attacker: name= Tesla Tank  | position= (72,107) : 41 : 41 | Health=1000  < moved >  From (71,107)
attacker: name= Tesla Tank  | position= (73,107) : 41 : 41 | Health=1000  < moved >  From (72,107)
attacker: name= Tesla Tank  | position= (74,107) : 41 : 41 | Health=1000  < moved >  From (73,107)
attacker: name= Tesla Tank  | position= (75,107) : 41 : 41 | Health=1000  < moved >  From (74,107)
attacker: name= Tesla Tank  | position= (76,107) : 41 : 41 | Health=1000  < moved >  From (75,107)
attacker: name= Tesla Tank  | position= (77,107) : 41 : 41 | Health=1000  < moved >  From (76,107)
attacker: name= Tesla Tank  | position= (78,107) : 41 : 41 | Health=1000  < moved >  From (77,107)
attacker: name= Tesla Tank  | position= (79,107) : 41 : 41 | Health=1000  < moved >  From (78,107)
attacker: name= Tesla Tank  | position= (80,107) : 41 : 41 | Health=1000  < moved >  From (79,107)
attacker: name= Tesla Tank  | position= (80,106) : 41 : 41 | Health=1000  < moved >  From (80,107)
attacker: name= Tesla Tank  | position= (80,105) : 41 : 41 | Health=1000  < moved >  From (80,106)
attacker: name= Tesla Tank  | position= (80,104) : 41 : 41 | Health=1000  < moved >  From (80,105)
attacker: name= Tesla Tank  | position= (80,103) : 41 : 41 | Health=1000  < moved >  From (80,104)
attacker: name= Tesla Tank  | position= (80,102) : 41 : 41 | Health=1000  < moved >  From (80,103)
attacker: name= Tesla Tank  | position= (80,101) : 41 : 41 | Health=1000  < moved >  From (80,102)
attacker: name= Tesla Tank  | position= (80,100) : 41 : 41 | Health=1000  < moved >  From (80,101)
attacker: name= Tesla Tank  | position= (80,99) : 41 : 41 | Health=1000  < moved >  From (80,100)
attacker: name= Tesla Tank  | position= (80,98) : 41 : 41 | Health=1000  < moved >  From (80,99)
attacker: name= Tesla Tank  | position= (80,97) : 41 : 41 | Health=1000  < moved >  From (80,98)
attacker: name= Tesla Tank  | position= (80,96) : 41 : 41 | Health=1000  < moved >  From (80,97)
attacker: name= Tesla Tank  | position= (80,95) : 41 : 41 | Health=1000  < moved >  From (80,96)
attacker: name= Tesla Tank  | position= (80,94) : 41 : 41 | Health=1000  < moved >  From (80,95)
attacker: name= Tesla Tank  | position= (80,93) : 41 : 41 | Health=1000  < moved >  From (80,94)
attacker: name= Tesla Tank  | position= (80,92) : 41 : 41 | Health=1000  < moved >  From (80,93)
attacker: name= Tesla Tank  | position= (80,91) : 41 : 41 | Health=1000  < moved >  From (80,92)
attacker: name= Tesla Tank  | position= (80,90) : 41 : 41 | Health=1000  < moved >  From (80,91)
